station,longitude,latitude,north_velocity,north_velocity_std,east_velocity,east_velocity_std,up_velocity,up_velocity_std
JB41,98.5,25.02,-7.4,0.6,-4.2,0.61,0.4,1.49
JB42,99.92,22.55,-6.9,0.55,1.6,0.56,1.2,1.25
JB46,85.54,38.08,9.6,0.52,-1.1,0.52,1.2,0.95
JB49,96.99,33,0,0.66,21.8,0.67,3.7,1.77
JB50,96.87,29.39,-5.2,0.54,15.4,0.55,3.9,1.2
JB51,93.05,35.09,7.3,0.59,26.7,0.6,3.5,0.93
JB52,91.98,32.99,10.2,0.5,24.8,0.51,3.7,0.99
JB53,87.77,31.89,19.5,0.63,14.9,0.64,1.7,1.61
JB54,86.97,28.39,25.2,0.54,9.1,0.55,2.5,1.19
JB55,79.58,35.46,17.8,0.57,-1.7,0.58,0.4,1.33
JB56,79.8,32.43,18,0.52,0.9,0.53,3.2,1.1
JMLA,82.19,29.28,25.3,0.53,4,0.53,2.4,1.11
JMSM,83.74,28.81,26.7,0.52,7,0.52,4.2,0.89
JRGR,85.06,30.73,21.6,0.53,10.8,0.55,1.2,1.12
KKN4,85.28,27.8,33.1,0.52,8.2,0.52,3.1,0.97
KLDN,83.6,27.77,36.4,0.52,7.8,0.52,0.1,0.88
KMIN,102.8,25.03,-13,0.51,2.2,0.52,-3,0.84
KUNM,102.8,25.03,-14,0.51,2.4,0.51,-1.6,0.73
LALB,102.17,19.9,-2.9,1.04,4.9,1.06,-,-
LALX,104.98,18.19,-2.3,1.09,1.1,1.12,-,-
LHAZ,91.1,29.66,17.8,0.51,18.7,0.51,0.8,0.83
MMMZ,97.45,25.43,-3.1,1.46,-3.3,1.68,-,-
MMNS,97.77,20.9,-2.4,1.04,-1.1,1.07,-,-
NCRS,90.96,30.77,16.7,0.52,17.2,0.54,0.6,1.19
NMAG,122.63,43.3,-3.9,1.05,10.9,1.05,-,-
NMAY,101.68,39.21,-1,0.62,2.5,0.62,-,-
NMAL,120.11,43.86,-3.4,1.05,8.3,1.05,-,-
NMAZ,105.67,38.81,1.4,1.05,2.6,1.06,-,-
NMBT,110.02,40.6,-2.8,1.07,0.4,1.07,-,-
NMDW,116.96,45.51,-4,1.05,6.8,1.05,-,-
NMEL,111.94,43.63,-2.5,1.07,5.1,1.07,-,-
NMTK,111.25,40.26,-3.2,1.07,6.1,1.07,-,-
NMWH,106.84,39.66,-2.8,0.69,4.3,0.72,-,-
NMWJ,108.07,41.3,-3.3,1.05,5.4,1.05,-,-
NMWL,122.03,46.04,-3.4,1.06,7.1,1.06,-,-
NMWT,107.06,41.08,1.8,1.05,5,1.05,-,-
NMZL,115.98,42.23,-2.4,1.05,6.7,1.05,-,-
NPGJ,81.6,28.12,36,0.52,7.2,0.53,-1.8,0.6
NXHY,105.65,36.55,-1.1,1.05,7.5,1.05,-,-
NXYC,106.27,38.49,-0.6,1.06,4.4,1.07,-,-
NXZW,105.24,37.59,-0.3,1.05,6.2,1.05,-,-
ODRE,87.39,26.87,37.9,0.52,10.5,0.52,-1.6,0.67
QHBM,100.74,32.93,-1.7,1.06,17.2,1.07,-,-
QHDL,98.1,36.3,4.2,0.58,7.6,0.59,-,-
QHGC,100.13,37.33,1.6,0.72,8.9,0.72,-,-
QHGE,94.77,36.15,6.1,1.05,8.4,1.06,-,-
QHLH,93.33,38.74,6.4,1.05,5,1.05,-,-
QHMD,98.21,34.92,3.2,1.11,18,1.13,-,-
QHME,101.4,37.47,1.4,0.69,8.7,0.69,-,-
QHMQ,100.25,34.48,2.7,1.06,14.8,1.07,-,-
QHMY,90.8,38.48,5.9,1.19,4.6,1.21,-,-
QHTR,102.01,35.52,2.8,0.61,9.8,0.61,-,-
QHTT,92.44,34.22,9.5,1.16,22.1,1.21,-,-
SCBZ,106.74,31.84,-2.9,1.04,6.7,1.05,-,-
SCDF,101.12,30.98,-7.2,0.59,16.5,0.6,-,-
SCGY,105.85,32.44,-3,0.78,5.8,0.79,-,-
SCGZ,100.02,31.61,-5.7,0.59,20.4,0.59,-,-
SCJL,101.5,29.01,-13.6,1.05,10,1.07,-,-
SCJU,104.52,28.18,-2.8,1.04,7.2,1.06,-,-
SCLH,100.67,31.39,-7.1,1.04,18.9,1.05,-,-
SCMB,103.53,28.84,-2.7,1.04,4.1,1.06,-,-
SCML,101.28,27.93,-15.4,1.04,19.1,1.05,-,-
SCMN,102.17,28.33,-11.5,1.04,10.6,1.05,-,-
SCNC,105.88,30.98,-2.9,1.05,7.3,1.05,-,-
SCNN,102.72,27.06,-11.8,1.05,8.8,1.06,-,-
SCPZ,101.74,26.5,-12.6,1.05,7.9,1.07,-,-
SCSM,102.35,29.23,-6.4,1.06,11.2,1.07,-,-
SCSN,105.56,30.51,-2.9,1.04,6.8,1.05,-,-
SCTQ,102.77,30.07,-4.3,1.05,8.4,1.06,-,-
SCXC,99.8,28.94,-12.6,1.04,12.7,1.06,-,-
SCXD,102.44,28.3,-9.3,1.04,10.2,1.05,-,-
SCXJ,102.37,31,-5.8,1.04,5.6,1.05,-,-
SCYX,102.51,28.65,-8.8,1.04,9.8,1.05,-,-
SCYY,101.51,27.43,-13.9,0.49,9.4,0.49,-,-
SRNK,83.94,28.26,29.6,0.53,8.6,0.54,3.8,0.93
TASH,75.23,37.77,20.2,0.51,-1.4,0.5,3.6,0.86
TPLJ,87.71,27.35,31.8,0.52,9.2,0.52,2.6,1.17
ULAB,107.05,47.87,-1.7,0.52,1,0.52,1,0.55
WUSH,79.21,41.2,13.9,0.51,1.7,0.51,1.2,0.82
XIAA,108.99,34.18,-0.6,0.51,1.4,0.51,-,-
XIAG,100.25,25.61,-12.9,0.51,1.1,0.51,0.8,0.62
XJAL,88.13,47.86,2.7,1.06,1.2,1.05,-,-
XJBC,78.77,39.81,14.6,1.05,1,1.05,-,-
XJBE,86.86,47.69,2.6,1.06,1.8,1.06,-,-
XJBY,83.72,42.83,4.5,1.06,4,1.06,-,-
XJDS,84.89,44.31,5.3,1.05,3.5,1.05,-,-
XJFY,89.54,47,4.8,1.05,1.4,1.05,-,-
XJHT,79.05,37.16,15,1.06,-2.1,1.06,-,-
XJJJ,94.34,42.85,2.3,1.06,4.5,1.06,-,-
XJKC,82.98,41.73,9.3,1.05,4,1.05,-,-
XJKE,86.19,41.79,9.1,1.06,3.1,1.06,-,-
XJKL,84.91,45.61,1.5,1.07,4.6,1.07,-,-
XJML,90.3,43.81,4.1,1.05,4.2,1.05,-,-
XJQH,90.98,46.15,2.2,1.06,-0.1,1.05,-,-
XJQM,85.53,38.12,9.6,0.52,-1.1,0.52,-,-
XJRQ,88.17,39.02,7.9,0.59,1.3,0.59,-,-
XJSH,86.11,44.21,4.7,1.05,3.4,1.05,-,-
XJSS,90.26,42.89,3.9,1.06,3.6,1.05,-,-
XJTC,82.88,46.82,-0.4,1.08,-0.5,1.07,-,-
XJTZ,83.66,38.97,11.3,0.59,0,0.59,-,-
XJWL,86.72,42.92,5.9,1.07,3.7,1.07,-,-
XJWQ,81,44.96,2.5,1.05,1.5,1.05,-,-
XJXY,83.26,43.4,5.9,1.06,2.2,1.05,-,-
XJYN,81.53,43.97,6.3,1.06,2,1.06,-,-
XJYT,81.97,36.43,10.8,1.08,-2.9,1.09,-,-
XJZS,80.36,42.68,5.5,1.05,2.9,1.05,-,-
XNIN,101.77,36.6,1.1,0.51,8.8,0.51,0.7,0.72
XZAR,87.18,29.27,15.5,1.1,11.2,1.12,-,-
XZBG,81.43,30.84,14.4,1.08,5.1,1.1,-,-
XZCD,97.17,31.14,-1.8,0.69,20.7,0.7,-,-
XZCY,97.47,28.66,-6.5,1.07,12.8,1.09,-,-
XZDX,91.1,30.48,14.1,1.06,18.1,1.08,-,-
XZGE,80.11,32.52,14.8,1.06,2.2,1.07,-,-
XZNQ,92.11,31.49,9.8,1.05,21.7,1.06,-,-
XZRK,88.87,29.25,18.5,1.09,13.2,1.11,-,-
XZRT,79.72,33.39,13.2,1.12,1.6,1.14,-,-
XZYD,88.91,27.44,29.8,1.1,18.8,1.12,-,-
XZZB,84.16,29.68,17.6,1.12,6.6,1.14,-,-
YANC,107.44,37.78,-3.4,0.51,3.6,0.51,2,0.82
YARE,84.04,29.53,23.8,0.53,6.9,0.54,3.5,1.12
YNCX,101.49,25.05,-11.9,1.05,4,1.06,-,-
YNDC,103.18,26.11,-6.9,1.05,7.1,1.07,-,-
YNGM,99.39,23.55,-7.6,1.05,-1.1,1.08,-,-
YNJD,100.88,24.44,-10.9,1.04,0.4,1.06,-,-
YNLA,99.95,22.56,-7.2,1.04,0.7,1.06,-,-
YNLC,100.08,23.87,-9.1,1.04,0.9,1.06,-,-
YNLJ,100.03,26.7,-13.8,1.1,2.1,1.13,-,-
YNMH,100.45,21.95,-5.3,0.64,0.4,0.68,-,-
YNMJ,101.67,23.42,-11,1.04,2.2,1.05,-,-
YNML,103.38,24.4,-5,1.04,7.2,1.05,-,-
YNMZ,103.4,23.36,-4.9,0.59,5.1,0.6,-,-
YNRL,97.85,24,-3.9,1.04,-4.4,1.06,-,-
YNSD,99.19,24.71,-10.7,1.04,-2.1,1.06,-,-
YNSM,101.05,22.74,-7.3,0.56,3.2,0.57,-,-
YNTC,98.44,24.95,-6.7,1.06,-4.3,1.07,-,-
YNTH,102.75,24.12,-8.9,1.04,3.9,1.05,-,-
YNWS,104.25,23.41,-6.8,1.04,1.8,1.06,-,-
YNXP,101.91,24.1,-11.4,1.04,7.9,1.05,-,-
YNYL,99.37,25.88,-12.5,1.05,-1.5,1.06,-,-
YNYM,101.86,25.69,-12.5,1.04,5.7,1.06,-,-
YNYS,100.75,26.68,-13.6,0.7,8,0.7,-,-
YNZD,99.7,27.82,-15.4,0.51,6.1,0.52,-,-
ZHXZ,86.94,28.36,25,0.53,9.5,0.55,2.5,0.51
